transaction_id,date,amount,merchant,description
TXN-202606-003,2026-06-01,6797.14,Uber,VIAJE UBER *TRIP
TXN-202606-005,2026-06-02,12230.21,PedidosYa,PEDIDOSYA DELIVERY
TXN-202606-010,2026-06-04,4269.84,Cabify,CABIFY VIAJE APP
TXN-202606-017,2026-06-05,8539.38,Express Courier,EXPRESS COURIER ENVIOS
TXN-202606-015,2026-06-06,32917.37,Coto,COTO CICSA SUPERMERCADO
TXN-202606-006,2026-06-10,54034.70,LuzSur,LUZSUR DISTRIBUIDORA ELEC
TXN-202606-008,2026-06-10,2703.28,Cabify,CABIFY VIAJE APP
TXN-202606-007,2026-06-11,39086.11,LuzSur,LUZSUR DISTRIBUIDORA ELEC
TXN-202606-012,2026-06-11,16075.84,Movistar,TELEFONICA MOVISTAR ARG
TXN-202606-019,2026-06-12,23172.65,Mercado Pago,PAGO MERCADO PAGO QR
TXN-202606-013,2026-06-14,34408.75,YPF,YPF ESTACION DE SERVICIO
TXN-202606-001,2026-06-15,15067.55,Movistar,TELEFONICA MOVISTAR ARG
TXN-202606-016,2026-06-15,7162.29,Rappi,RAPPI ARGENTINA SA
TXN-202606-004,2026-06-16,43682.41,Carrefour,CARREFOUR HIPERMERCADO
TXN-202606-018,2026-06-18,103776.89,Transferencia,TRANSFERENCIA A TERCEROS
TXN-202606-009,2026-06-19,58216.97,Carrefour,CARREFOUR HIPERMERCADO
TXN-202606-002,2026-06-25,14818.45,Movistar,TELEFONICA MOVISTAR ARG
TXN-202606-014,2026-06-25,13995.29,Movistar,TELEFONICA MOVISTAR ARG
TXN-202606-011,2026-06-27,63025.58,Coto,COTO CICSA SUPERMERCADO
TXN-202606-020,2026-06-28,3543.90,Comision Bancaria,COMISION MANTENIMIENTO CTA
