transaction_id,date,amount,merchant,description
AR-001,2026-07-02,3120.00,Uber,UBER TRIP AR
AR-002,2026-07-05,2940.00,Rappi,RAPPI PEDIDO AR
AR-003,2026-07-08,4630.00,PetroSur,PETROSUR COMBUSTIBLES SA
AR-004,2026-07-10,1850.00,PedidosYa,PEDIDOSYA DELIVERY AR
AR-005,2026-07-12,18500.00,LuzSur,LUZSUR ELECTRICIDAD SA
AR-006,2026-07-15,2820.00,Cabify,CABIFY VIAJE AR
AR-007,2026-07-18,6200.00,Express Courier,EXPRESS COURIER ENVIO
AR-008,2026-07-20,3120.00,Uber,UBER TRIP AR
AR-009,2026-07-22,95000.00,Transferencia,TRANSFERENCIA BANCARIA REF99812
AR-010,2026-07-25,1200.00,Mercado Pago,MERCADOPAGO PAGO AR
