transaction_id,date,amount,client,description
IN-001,2026-07-03,85000.00,Distribuidora Norte S.A.,COBRO FACTURA A-0001 DISTRIB NORTE
IN-002,2026-07-06,42500.00,Kiosco El Rapido,COBRO FACTURA A-0002 KIOSCO RAPIDO
IN-003,2026-07-09,128000.00,Supermercado La Placita,COBRO FACTURA A-0003 SUPER PLACITA
IN-004,2026-07-11,36000.00,Ferreteria Belgrano,COBRO FACTURA A-0004 FERR BELGRANO
IN-005,2026-07-14,95000.00,Distribuidora Norte S.A.,COBRO FACTURA A-0005 DISTRIB NORTE
IN-006,2026-07-17,54000.00,Panaderia Dos Hermanos,COBRO FACTURA A-0006 PAN DOS HERMANOS
IN-007,2026-07-19,72000.00,Supermercado La Placita,COBRO FACTURA A-0007 SUPER PLACITA
IN-008,2026-07-23,48000.00,Kiosco El Rapido,COBRO FACTURA A-0008 KIOSCO RAPIDO
IN-009,2026-07-26,110000.00,Distribuidora Norte S.A.,COBRO FACTURA A-0009 DISTRIB NORTE
IN-010,2026-07-28,39000.00,Ferreteria Belgrano,COBRO FACTURA A-0010 FERR BELGRANO
