transaction_id,date,amount,merchant,description
TXN-1001,2026-08-10,4.75,Starbucks,STARBUCKS STORE #4521
TXN-1002,2026-08-11,459.90,Office Depot,OFFICE DEPOT #221
TXN-1003,2026-08-12,28.50,Uber,UBER TRIP HELP.UBER.COM
TXN-1004,2026-08-13,152.34,Costco Wholesale,COSTCO WHSE #0113
TXN-1005,2026-08-17,610.00,Delta Air Lines,DELTA AIR 0062178432
TXN-1006,2026-08-15,52.00,Shell,SHELL OIL 57443217908
TXN-1007,2026-08-16,1200.00,Wire Transfer,INTERNATIONAL WIRE TRF REF88213
TXN-1008,2026-08-18,6.50,Vending Co,VENDING MACHINE #12
TXN-1009,2026-08-19,34.20,Target,TARGET T-1187
TXN-1010,2026-08-20,78.42,Whole Foods,WHOLEFDS MKT #10289
TXN-1011,2026-08-23,12.99,Walgreens,WALGREENS #4410
TXN-1012,2026-08-21,251.67,Home Depot,THE HOME DEPOT #0396
TXN-1013,2026-08-22,15.49,Netflix,NETFLIX.COM
TXN-1014,2026-08-22,10.99,Spotify,SPOTIFY USA
TXN-1015,2026-08-24,61.10,Chevron,CHEVRON 00312456
TXN-1016,2026-08-27,342.00,Marriott Hotel,MARRIOTT HTL RESORT
TXN-1017,2026-08-26,28.35,FedEx,FEDEX OFFICE #3321
TXN-1018,2026-08-28,1099.00,Apple Store,APPLE STORE R421
TXN-1019,2026-08-29,54.10,Trader Joes,TRADER JOE'S #113
TXN-1020,2026-08-30,89.00,AutoPay Insurance,GEICO AUTO INSURANCE
TXN-1021,2026-08-30,4.50,ATM Fee,ATM WITHDRAWAL FEE
TXN-1022,2026-08-31,320.00,Unknown Overseas Merchant,POS PURCHASE INTL
